company0,job_title0,descrip0,company1,job_title1,descrip1,company2,job_title2,descrip2,company3,job_title3,descrip3,company4,job_title4,descrip4,school,degree,school_score,skill_score,,
IBM,Software Engineer,Software Developer at Inspired Gaming Group December 2014   June 2015  7 months ,Inspired Gaming Group,Software Developer,Software Developer at Arden Software November 2012   December 2014  2 years 2 months ,Arden Software,Software Developer,C  Developer ,0,0,0,0,0,0,University of Central Lancashire,Preston College,1,,,
Google,Software Engineer,Software Engineer at Yahoo June 2015   August 2016  1 year 3 months ,Yahoo,Software Engineer, Designed and developed the backend using Apache Storm and YQL for 2016 primary elections delegates tracker ,Amazon,Software Developer Engineer - Intern, Designed and developed tools to create rosters in order to schedule workers in large fulfillment centers of Amazon using node angular js and DynamoDB , Research Assistant at Information Sciences Institute - USC,Grad,Worked on extracting features from scanned copies of handwritten text and creating testing and training models for classification of these texts ,Vedantu,Software Engineer,  Architected designed and implemented content management tool at Vedantu for easy management and distribution of content on play framework ,University of Southern California,Master of Science MS  Computer Science 2013  2015,2,,,
Nippon,Software Architect (automotive\AUTOSAR\ISO26262),Software Design Engineer at Nippon Seiki Europe BV February 2014   February 2017  3 years 1 month ,Nippon Seiki Europe BV.,Software Design Engineer,HUD AUTOSAR   Bootloader customization and maintenance including Compatibility check feature Diagnostics  and Memory map    Designing and maintaining The SW architecture and the AUTOSAR software components   Assigning Requirements to SW components   Planing and Participation in the Code reviews activities Design reviews and internal Spec  acceptance meeting   Preparation of the SW release package   Establishing the Configuration management using SVN according to SUP 8 Automotive SPICE   Leading and management of Remote engineering team ,Valeo,Embedded Software engineer,Ford Europe B515 B232 Climate Control Systems ,Intel Corporation,Embedded Software engineer, Designing LTE_UE finite State machine FSM  Designing and coding FSM Test Plan and documentation  Designing and implementing Perl scripts to enhance coding and testing quality  Designing and coding encode decode 3GPP 36 331 ASN 1 air messages o Release8 XMM7060  o Release9 XMM7160  o Release10 XMM7260   Implementing encode decode for LTE Positioning Protocol LPP ASN 1 air messages  Fixing reported bugs by testing teams and reviewing fixes by local and remote teams  Designing Air message dynamic memory allocation feature  Implementing Inter component messages and dynamic architecture ,SySDSoft (acquired by intel),EW software engineer, Designing coding and testing eNodeB operation and configuration manager module OCM   Coding femto eNodeB state machine  Coding the eNodeB CLI user interface and System APIs  Designing coding and testing eNodeB user interface via serial communication ,Delft University of Technology,Delft University of Technology,1,,,
Apple,Software Engineer,Software Development Engineer in Test at Financial Industry Regulatory Authority FINRA January 2015   Present  2 years 10 months ,Financial Industry Regulatory Authority (FINRA),Software Development Engineer in Test,Working on Big Data Cloud platforms that are responsible for collecting  processing and analyzing the data from received from majority of US stock market participants These platforms utilize wide range of technologies to ensure that the application is capable of routinely processing storing and accessing terabytes of data on daily basis As a member of agile team participate in the Agile software development an using the required tools Including daily Scrum Spring Planning Code Reviews Test Case reviews Using JIRA  Jenkins and other tools that facilitate agile development , Research Assistant at University of Maryland,Grad,Proposed and developed a stochastic model for electromagnetic radiation propagation in atmosphere Devised and practically realized a sophisticated numerical scheme that required application of advanced algorithms and data structures Numerically optimized the design of novel microwave device and as a result obtained record output characteristics in subsequent experiments Participated in multidisciplinary international projects that required exceptional communication and collaboration skills Independently learned Python and developed scripts to interact with an advanced numerical code Designed and assembled complex experimental system for acquisition with C  and processing  MATLAB and VEE of large volumes of data from radiation detection experiments Published the results in recognized technical journals ,University of Akron,Teaching Assistant,Performed statistical pattern recognition of data obtained from satellite measurements Based on developed Monte Carlo code suggested a way to improve the characteristics of polymers used in rubber production Participated in testing and debugging of an advanced code for analysis of biological molecules Mentored undergraduate students and taught various graduate and undergraduate courses ,0,0,0,University of Maryland College Park,Doctor of Philosophy PhD  Electrical and Computer Engineering 2009  2014,1,,,
Apple,Embedded Software Engineer, Bringup and driver development for various Apple products ,orm Software Engineer at Cisco,P, Worked on Denverton x86 CPU bringup for next gen linecards  Worked on BIOS features like secureboot secureflash upgrade for Broadwell DE x86 CPU   Supporting features on rommon which is a home grown home grown bootloader for QNX to perform other board level initializations  Worked on upgrade support for onboard Field Programmable devices , Research Assistant at Secure Embedded Systems Lab  Virginia Tech,Grad,I worked in Secure Embedded Systems lab under Dr Patrick Schaumont My broad area of research is optimizing public key cryptography for embedded platforms  , Teaching Assistant at Virginia Tech,Grad, Teaching Assistant and grader for the course Hardware Software Co design ,Cisco Systems,Engineering Intern,Benchmarking and characterization of Interprocess communication over TCP IP in a virtualized system The system here is a next generation core router from Cisco ,Master of Science MS  Computer Engineering 2012  2014,Gautam Junior College,1,,,
IBM Power Systems,Software Developer,Working with development and maintenance of Virtual I O storage adapters the IBMi server operating system  ,Garmin International,Software Engineer Internship,I wrote unit tests in C for our software and updated documents as the tests were ran ,Bosch Security Systems,Development Intern,Programming TI DSPs in assembly debugging assembly software O Scope debugging  ,0,0,0,0,0,0,University of Nebraska Lincoln,0,1,,,
Cloudera,Software Engineer, Automating deployment of Cloudera products with different features enabled on clusters of variable sizes and configurations  Developing a framework for integration testing for Cloudera products ,Cloudera,Software Engineer Intern, Designed and developed a generic Data Ingestion pipeline using Kafka Spark HDFS HBase to ingest unstructured and semi structured data that scales up for huge clusters  30 nodes  Developed multiple applications to leverage the data generated by the pipeline using Hive Impala and Pig  Wrote Hive Hive on Spark and Impala queries to generate build statistics from data aggregated by the ingestion pipeline  Automate deployment of Cloudera products on clusters of variable sizes and configurations ,Apple,Software Developer Intern | Developer Technical Support, Upgrading and adding new features to an internal web publishing tool  Migrating application data from CVS to Git  Creating sample code that was published to developers worldwide ,Tecta.in,Co-Founder, Helped start ups as well as established companies to build a web presence ,Kamyab Infotech Pvt Ltd,Executive Intern, Designed developed and managed websites and e commerce portals using Open Source tools ,Master s Degree Computer Science 2013  2015,0,1,,,
Dell,Senior Software Engineer,Software Dev Engineer Operating Systems Firmware Boot loader at Dell February 2015   September 2017  2 years 8 months ,ng Systems/Firmware/Boot-loader) at Dell,Software Dev Engineer (Ope, Responsible of all kernel device drivers porting development for Dell Wyse Embedded Linux I2C  SPI DP Audio eMMC Wireless Wake On Lan  etc while working closely with ODM OEM and partners  Accomplished several device drivers tasks working closely with Dell WTOS proprietary embedded OS leading to the release of Dell Latest Thin Client in Q1 2017  Manage R D projects with ODM Partners across North America and Asia  ,Dell,Software Engineer Intern,  WTOS SDK testing package for intel bay trail 2807 hardware platform  Troubleshooting hardware and software for thin clients  Embedded software in C for various operating system related tasks  Debug and Modify stage 2 of GRUB 0 93 for specific software applications  WTOS Wireless device driver porting ,University of Florida,Software/Hardware Engineer, Flight Simulation PCB design project      Design complex PCB that can interact to a flight simulation host software application ,0,Product Design/University of Florida), Implemented different embedded solutions to monitor irrigation flow for brain surgical device  Developed and optimized system level design for hardware and software implementation  Designed complex PCB with microcontroller and loadcell sensor that can monitor irrigation flow  Implemented embedded software in C ,University of Florida,Masters in Computer Engineering 2017,2,,,
Uber,Software Engineer, Visuali,Software Engineer at Lever November 2014   October 2016  2 years ,Lever,Software Engineer,Building sweet features at Lever ,Simpson Gumpertz & Heger Inc.,Engineer I, Lead building envelope engineer on commercial and public construction projects ranging between  10 million to 600 million with an emphasis on risk management Projects include   Historic sports arena Los Angeles Forum Inglewood CA   38 story high rise 10th  Market Residences San Francisco CA   23 story high rise 8th  Hope Los Angeles CA  Resolved complications arising during construction and presented solutions to the construction team using technical drawings 3D models and comprehensive reports in two day turnarounds   Directed field investigations and litigation support for senior principals in the firm ,0,0,0,0,0,0,University of Southern California,Master of Science M S  Structural Engineering 2012  2014,2,,
Thales,Software Engineer,Troubleshooting and debugging the whole in flight entertainment system on network hardware and connection issues Developing the internal tool for system configuration management using Java Spring framework ,U9GAME,Software Engineer Internship,Developed an inner company web application in PHP for data management and game maintenances Developed the detection tool to prevent the illegal plugins from the client side in the mobile game ,ry Teaching Assistant at UC Irvine,Physics Labo,Helped students have better understandings to materials covered by professor on physical theories ,Intel Corporation,Software Engineer Internship,Reproduced and debugged in graphical visualization team fixed two bugs and analyzed four root causes related to GPU drivers Set up environments for developers and sharing working experiences with new hired employees and interns ,Global China Connection,Event Planner,Figuring out the budget for each events and providing interactive communication through different departments ,0,0,1,,,
Dell,Business Intelligence Sr. Advisor (Program/Portfolio Manager),Program Portfolio Mgmt  Strategy  Planning BI Architecting for Business  Supply Chain Operations analytics 1  Analytics portfolio manager Maintain 14 projects with a group of 10 analysts for projects ranging from cycle time prediction to order management using various analytical and machine learning techniques 2 Program managed and architected delivery of a fully integrated Inventory BMS and Command Center suit enabling leadership to effectively utilize teams and showcase deliveries SVP Quarterly Highlight 3 Delivered Demand Supply accountability and governance suite with global adoption having a direct yearly saving of at least 0 5M SVP Award 4 Program managed delivery of a solution to validate order volumes and part costs outsourced to an external fulfillment center directly saving at least 300K yearly for Dell 5 Head Tableau  data governance with a group of 5 local admins directly saving at least 50K yearly ,Dell,Co-Op MBA Intern,Business Intelligence Team  Global Sales Operations 1 Concept creation and Integration of discrete business management systems to create a one stop business management solution  2 Analyzing and mapping current business processes along with standardizing metrics creating a common ground for predictive and prescriptive analytics  , Sr. Advisor MBA Intern at Dell,Grad,End to End Customer Experience Dashboard Coordinating closely with Analytics team Sales Ops Directors and VPs to come up with key deliverables  road map for improving operational efficiency  customer experience across sales  1 Developed a playbook and data map to create an RCA system that can identify systemic problems bring continues operational improvements accelerate issue resolution cycle time and present mitigation plans framework 2 Created a sales process flow map and standardized KPIs for EUC and ESG products helping analytics team gain insights into customer experience metrics  process improvement pain points  3 Designed data models estimated thresholds and created control rules to develop an early warning system ,Infosys,Technology Analyst,Led product development implementation and support tracks as Single Point of Contact for Fortune 500 US Clients 1 Prepared road map and led implementation plan as part of client side team to successfully launch new banking product for a Fortune 500 bank providing cutting edge enhancements and extensions to bank s services  2 Spearheaded a crucial issue resolution activity and resolved more than 30 issues in less than a month significantly accelerating product delivery time by clearing critical roadblocks  3 Designed Automated IRS Tax reporting functionality to help US clients save at least 50 in reporting cost  4 Led team effectively in developing 2 major product modules saving 25 in time  effort ,Infosys,Senior Systems Engineer,Managed direct reportees in various product customizations for Caribbean clients ,Texas A M University,Master of Business Administration M B A  2013  2015,1,,,
Bloomberg LP,Software Engineer, Built the terminal application to manage trade settlement info focused on UI JavaScript and backend C    Optimized the Oracle database logic to accelerate finding entitlement mismatch in Market Data API  Added a full stack feature to show fix client the violations of Exchange ID usage ,Amazon,Software Development Engineer Intern, Interned at the Identity Service Team under eCommerce Platform Services Group eCSG   Added address auto population feature on Amazon s address web service based on Spring Framework   Integrated the team s web service with 3rd party geocoding API like Google Map as well as Amazon s internal API  Implemented multiple metrics and deployed the new feature to Amazon s WebLab for internal external test ,The Johns Hopkins Center for Language and Speech Processing (CLSP),Research Assistant,Advisor David Yarowsky ,Anhui USTC iFLYTEK Co,Software Engineer Intern,Education The Johns Hopkins University Master s Degree Computer Science 2015  2016 Beijing University of Post and Telecommunications Bachelor s Degree E Commerce Engineering 2011  2015 ,0,0,0,The Johns Hopkins University,Master s Degree Computer Science 2015  2016,1,,,
Anritsu,Software Development Engineer,Application Development in C  Qt  Linux environment Implementing IEEE 488 2 standard SCPI commands Python scripting for automated testing writing of low level drivers and user level application for embedded Linux kernel Knowledge about shell scripts version control in git google test framework java script ,Intel Corporation,Software Engineering Intern,Worked on Intelligent Text Recognition Software gained extensive experience in parallel programming in Linux environment using pthreads open mp and MPI communication ,Blue Highway  Inc.,Computer Engineering Intern,Work on board design projects debug prototypes work with new wireless communication technologies ,Syracuse University,Tutor, Taught multiple integrals partial differential vectors calculus to undergraduate students ,0,0,0,Syracuse University,Master of Science M S  Computer Engineering 2012  2014,1,,,
Bio1 Systems  LLC,Part-Time Software Development Consultant,Development of an efficient hands free system for capturing patient data in a critical care environment ,Stanford University,Teaching Assistant,CS221 Artificial Intelligence Autumn 2017 ME202 Mechaphonics Smartphone Enabled Mechatronic Systems Spring 2017 PH41 Mechanics Winter 2017 ,Uber Advanced Technologies Group,Perception Software Engineer - Intern,Development of Segmentation and Classification of objects sensed around the autonomous vehicle  I improved the pedestrian detection algorithms through measuring the bottlenecks and alleviating them  I improved segmentation and tracking significantly by detecting and removing noisy sensor measurements  I developed a test suite to confirm the correctness of the implementations of new features in the machine learning pipeline for pedestrian detection ,Stanford University,Research Assistant,Development of a pain management application to improve the communication of pain between patients and providers using a robotic interface  ,Intel Corporation,Embedded Software Engineer - Intern,Firmware Development of Solid State Drives in C C  as a member of the Non Volatile Memory Solutions Group NSG  Decreased firmware start up time and improved firmware speed significantly by reducing writing to bottleneck hardware registers by 60   Diverged critical parts of common code to lead to faster code freezes ,Stanford University,Master of Science M Sc  Computer Science 2016  2018,3,,,
Ons and Devices Group,Communi,Wireless Systems and Software Integration and testing of Next Generation Wireless Technology commonly known as 5G , Technical Intern at Intel Corporation,Grad, Design simulation and optimization of analog components using different tools ,Verizon Wireless,Network System Performance Engineer/Intern, Investigated LTE capacity and coverage issues using RF modeling tools Analyzed drive data using post processing tools Optimized LTE network coverage using propagation modeling tools Implemented and analyzed Voice over LTE VoLTE ,0,0,0,0,0,0,Portland State University,Masters Degree Electrical Engineering RF Analog and Microwave Design 2013  2015,1,,,
TripAdvisor,Software Engineer,Software Developer at iFormBuilder by Zerion Software Inc  Mobile Data Collection Platform for iOS and Android March 2015   September 2017  2 years 7 months ,0,and Android,Developed new features Bluetooth printing single sign on preserve image metadata google map integration username password encryption and database encryption into company s android platform iFormBuilder client app identified and solved complex coding problems as well ,Insystech,Android Developer,Redesigned application user interfaces using XML re wrote all in app functions and updated structure ,0,0,0,0,0,0,The George Washington University,Master s degree Computer Science 2013  2015,1,,,
Novetta,Software Engineer,Assistant to Owner at Kinross Real Estate LLC June 2016   September 2016  4 months ,Kinross Real Estate  LLC,Assistant to Owner,Assisted owner with day to day operations reviewed leases dealt with tenants performed property management duties performed book keeping duties and assisted with computer systems for a small fast paced real estate company ,Kappa Alpha Theta,Service and Philanthropy Director, Spearheaded and executed Eta Psi s second annual signature philanthropy event raising over  11 200 for Court Appointed Special Advocates of Boston Help chapter members exercise the widest influence for good for the benefit of the community Responsible for coordinating all chapter philanthropic events and service events Plan and oversee the annual signature philanthropy event and the Day of Service Ensure that all philanthropic and service events are developed properly and follow all risk management guidelines ,Novetta,Software Engineering Intern, Added and improved various features in Novetta s Ageon ISR application and supporting applications Worked in both front end and back end Used C  JavaScript HTML CSS ,SessionM,Software QA Engineering Intern, Created Android application distributed to clients to test advertisements in SessionM s user portal Added features to SessionM s internal test application in both iOS and Android Fixed and created new automated tests for SessionM s advertiser portal Tested manually SessionM s portal advertisements client apps games ,Tufts University,0,1,,,
Best Buy,Web Engineer,Assistant Technical Director at University of Minnesota August 2016   Present  1 year 3 months ,University of Minnesota,Assistant Technical Director,Lead a team of five to fifteen sound and lighting technicians for campus events Be number one contact under the technical director Run either sound or lighting for large campus events while helping the sound and lighting lead when needed Teach new members about all technical equipment including both sound and lighting Coordinate team work calls and ensure all equipment is working properly and all protocols are being followed Communicate with clients before and during the events  ,First Layer Health,Software Developer,Web Engineering Intern at Best Buy May 2016   August 2016  4 months ,Best Buy,Web Engineering Intern,As an intern on the Associate Facing Tools team of BestBuy com I worked on implementing a single sign on system component to be added to all of the shared tools I also helped create the back end component with REST API endpoints for authentication JSON web tokens were used to manage sessions ,University of Minnesota  Morris,Sound Technician Lead,Lead the sound technicians of the student tech crew while running the large events and delegating smaller events to other technicians Be one of the lead contacts for the tech crew as well as training new members on all of the sound equipment I programmed our LS9 Yamaha sound console as well as re routed and cleaned up our auditorium sound system ,University of Minnesota Morris,0,1,,,
Uber,Software Engineer,Semantic location ,Amazon Lab126,Machine Learning Scientist,Natural Language Understanding  Entity Resolution for Alexa ,UCSB,Researcher, Fast approximate spectral embeddings graphs high dimensional data kernel methods word embeddings Python and MATLAB https  bitbucket org dineshkr fastembed Spark https  bitbucket org dineshkr fastembedpyspark , Student Researcher at UCSB,Grad, Inference from time on Twitter Proposed and evaluated a system for understanding the temporal evolution of topics on Twitter and for quantifying a user s interest in a topic from his her tweet times Investigated the value of user overlap for understanding the flow of topics with time on Twitter feeds   Training large arrays for 60GHz to the mobile Investigated compressive measurements for direction of arrival estimation and tracking ,Qualcomm,Engineering Intern,Proposed algorithms and conducted simulations towards improving the UMTS modem Looked at combining selecting two symbol spaced equalizers when channel realizations are not favorable for a single symbol spaced equalizer ,University of California Santa Barbara,University of California Santa Barbara,2,,,
Uber,Software Engineer,FinTech ,Yahoo! Inc.,Software Development Engineer,Software developer on the demand side platform Core tasks  Redesigned and implemented search functionalities for the platform using Elasticsearch  Rewrote authorization module utilizing Spring Security and implemented EmberJS UI for configuration  Implemented service using Kafka to audit changes in the system asynchronously ,Intel Corporation,Software Engineer,Full stack software developer  Designed and implemented RESTful APIs for accessing the system using RestEasy JAX RS  Integrated the Hibernate ORM framework into the system  Implemented an end to end analytics solution with Elasticsearch a Node js ETL tool and multiple custom web applications using AngularJS Used for system health monitoring exploring historical system usage data tracking configurations etc ,Intel Corporation,Software Engineer Intern,Engineering Intern at Broadcom June 2013   August 2013  3 months ,Broadcom,Engineering Intern,Education San Jose State University Bachelor s Degree Computer Engineering 2011  2015 Irvington High School ,San Jose State University,0,1,,,
Apple,Software Engineer,Ad Platforms Engineering ,Intuit,Senior Software Engineer,Software Engineer II at Intuit February 2016   July 2017  1 year 6 months ,Intuit,Software Engineer II,Key contributor in a tech rewrite of two in market cross platform Windows  Mac products with over 300K Monthly Active Users to a single tech stack supporting Windows  Mac using Electron  Chromium  Node js  Developed APIs for unit testing  usage tracking and setup release infrastructure for enabling fast  fearless deployment Brought down time to release by 50  ,Intuit,Software Engineer,Developed front end code using Cocoa APIs in Objective C for a Mac desktop application  Technologies used include Objective C Cocoa framework Javascript Dojo framework IntelliJ Git Perforce for version controlling ,Intuit,Software Engineer Intern, Worked as a full stack web developer My responsibilities included  Design and implementation of web pages on the customer side Documenting the requirements for developing wireframes Testing the back end code Followed agile methodology ,University of Southern California,Master of Science M S  Electrical Engineering 2013  2014,2,,,
Intel Corporation,Software Engineer,Software Developer at Intel in Logic Technology Development Automation  , Teaching Assistant at The Ohio State University,Grad, Instructor for the course Modelling and Problem Solving in Spreadsheets and Databases  CSE 2111 at The Ohio State University Columbus OH during the terms Fall 15 and Spring 16 ,Gap Inc.,Software Development Engineer Intern,POET Process Optimization and Evolution Tool Project ,Tata Consultancy Services,Assistant Software Engineer,Hands on Experience on System Applications and Products SAP in Data Processing ,0,0,0,The Ohio State University,Master of Science M S  Computer Science and Engineering 2014  2016,1,,,
ARRIS,Staff Software Engineer(Cable TV Headend Devices Group),Role Staff Software Engineer ,Intel Corporation,Graphics Software Engineer(Intel Architecture Group/Visual & Parallel Group),Role  Graphics Software Engineer ,Samsung Electronics,Lead Engineer(Visual Display Division),Role Lead Engineer ,Motorola,Software Engineer(Connected Home Solution/SetTopBox Division),Role Software Engineer ,Tata Elxsi,Design & Development Engineer(PACE SetTopBox Division),Role Software Engineer ,Master of Technology M Tech  Software Systems Specialization Embedded System  2015  2017,Kalyani Government Engineering College,1,,,
Amazon,Software Development Engineer II,04 2017  Present Software Development Engineer II 11 2016  03 2017  Software Development Engineer ,Amazon,Software Development Engineer,Financial Intelligence Systems Query Engine  Data Platform ,Amazon Web Services,Software Development Engineer,Amazon Web Services Networking Network State Master  Network Storage Platform ,Vantiv (Litle & Co.),Software Engineer Intern,Build Environment Refactoring Project SDK Java Python  Merchant Profile Management Enhancements ,on Developer  Student at BlackBerry,BlackBerry C++ Core Appli,SMS MMS ,Northeastern University,Master of Science M S  Valedictorian in Electrical and Computer Engineering Computer,1,,,
Microsoft,Software Development Engineer,Software Engineer Intern Transaction Risk Management Systems at Software Development Engineer Intern at Amazon June 2016   August 2016  3 months ,Amazon,Engineer Intern, Design and implement an approach to calculate vendor coverage metrics  Design and create cloud workflow management application to authenticate information from     onboarding sellers by using Amazon Simple Workflow Service  Communicate with stakeholders and design vendor coverage table schemas  Build AWS data pipeline by using Kinesis Firehose S3 and Redshift cluster  Analyze reports between vendors build tools to extract key attributes and store generated data  into AWS Redshift cluster table ,ZTE Corporation,Network Engineer Intern, Core Network System, Design system configuration direct system installation define documenting and enforcing system standards to establish a robust networking environment  Master the fundamentals of Linux scripting language  Perform daily maintenance and troubleshooting of Core Network  Awarded as Model Trainee ,0,0,0,0,0,0,University of Florida,Master of Science MS  Computer Science 2015  2017,2,,
Intel Corporation,Software Engineer,Developing scripts in groovy Java and Python to automate and run the Protex IP scans periodically for graphic driver software at Intel ,Intel Corporation,Software Engineering Intern, Involved in the development of Graphics Automation framework to support automated test execution compilation analysis validation reporting and release of Intel Graphics driver software ,on Developer at BNY Mellon,Appli, Involved in the development and design of the project to get the trades from the institutions     segregate the trades and allocate the trades to the account holders by identifying the account holders  Played key role in tracking resolving the issues during the business signoff and securing the  certification from the vendor OMGEO  Coordinated with the front end and testing team in regression testing  Designed and developed a frame work to notify the alerts and issues encountered in the  productions in order to resolve the issues quickly ,0,0,0,0,0,0,The University of Texas at Dallas,Master s degree Computer Science 2014  2016,1,,,
Planet,Software Engineer,Planet creates commercial and humanitarian value with the market s most capable global imaging network Fresh data from any place on Earth is foundational to solving commercial environmental  and humanitarian challenges Our global sensing and analytics platform unlocks the ability to understand and respond to change at a local and global scale ,nWay Inc.,Quality Assurance Analyst,Worked with the Engineering and Design teams in an unstructured fast paced environment to support frequent and fast releases Drove continuous improvement efforts to streamline all QA processes ,Apple,Quality Assurance Analyst,Contributed expertise and performed Software QA analysis and user oriented component testing ,on & Translation from English to Italian at Freelance,Locali,Completed projects of data sets evaluation localization testing translation from English to Italian  content writing editing and copywriting ,McSweeney's,Copyeditor, Evaluated 200 short stories for publishing consideration  Copy edited 10 issues of The Believer magazine  Developed shot and edited McSweeney s video campaign for the book Momo by Michael Ende ,Master s Degree Translation Of Post Colonial Texts in English Fiction Non Fiction and,0,1,,,
Amazon,Software Developer Engineer,I am currently working with Amazon Cloud Drive Mobile team iOS Android  Amazon Drive offers secure cloud storage for your photos files videos and more to back up to the cloud Once your files are uploaded you can access them from your computer your phone or your tablet all with the Amazon Drive app ,Amazon,Software Developer Enginner,Amazon Flex is the last mile crowdsourced delivery application for the iOS platform We develop the Amazon Flex iOS application used for delivery of Amazon packages by couriers  DPs Delivery Partners aka CSPs Crowdsourced Service Providers  DAs Delivery Associates aka DSPs Deliver Service Providers ,Amazon,Software Development Engineer,Developed paired geo fence mechanism and proximity detection of two or more mobile devices to ensure delivery confirmation and detect electronic handshake between mobile phones bluetooth beacons dash buttons etc  using GPS BLE Wifi signal data from devices ,Playpower LLC,Senior Software Engineer,Playpower Labs a Carnegie Mellon educational research initiative Since 2012 I ve worked as a Lead Game Developer at Playpower Most of my time at Playpower has been spent creating games for building core math skills that provide a foundation for success in Science Technology  Engineering and Math STEM  I have worked extensively on dozens of games on multiple platforms over 4 years I don t just believe that fun aids learning i believe learning is fun ,Techstars/Kaplan EdTech Accelerator,Software Engineer, Formalized licensable interactive math learning modules covering over 120 common core standards  Built cognitive skills assessment games based on developmental psychology ,Carnegie Mellon University,Master s Degree Computer Science Entertainment Technology 2015  2017,1,,,
Dell,Senior Software Engineer,Be a key part of the full product development lifecycle of software applications offered by Dell One Identity Manager  Implement Dell One identity Connectors for integrating in Dell Boomi  Research validate and recommend key technology decisions for the core platform and other customer facing offerings  Mentoring of other Boomi engineers including design collaboration and code reviews  Responsible for design development and unit testing of the D1IM products including enhancements and or resolution of any issues that may be reported  Support the QA team during System Integration testing  Work independently with a moderate level of guidance from engineering management ,Societe Generale Global Solution Centre,Senior Software Engineer, The application is used by Forex and Fixed Income teams for real time monitoring of trading activity and periodic reporting using an Agile development approach ,Motorola Solutions,Senior Software Engineer,Real Time Video Intelligence RTVI software delivers high quality video to and from the patrol car and the command center and between personnel in the field In wireless environments RTVI adjusts to available bandwidth ensuring that real time live video gets through at the best possible quality With its user friendly interface RTVI allows cameras to be selected from a list a map or an emailed link and accepts video from multiple camera and recorder vendors Whether it s a supervisor monitoring another officer s pursuit from his patrol vehicle or a SWAT team captain watching building security footage on her handheld ,0,0,0,0,0,0,Visvesvaraya Technological University,Master of Computer Applications MCA  Computer Software and Media Applications 2009  2012,1,,,
IBM,Software Developer, API Connect,Working on application and micro services development in IBMs API Connect an API Management solution which exposes business APIs to external consumers and other partner applications in a secure manner ,IBM,Software Test Specialist,Engineering Intern at Defence Research and Development Organisation May 2012   June 2012  2 months ,Defence Research and Development Organisation,Engineering Intern,Analysis calibration of INS Inertial Navigation system used in rockets such as Agni Missiles at Research Center Imarat Defense Research and Development Organization Hyderabad ,0,0,0,0,0,0,San Jose State University,Master s degree Computer Engineering 2014  2016,1,,
Salesforce,Senior Software Engineer,Software Engineer at Amazon August 2014   January 2016  1 year 6 months ,Amazon,Software Engineer, An integral part of a software development team built scalable event driven data integration systems that sync 400k employee data to downstream consumers in real time as changes happened in the data source ,Facebook,Software Engineer Intern, Design and implement a P2P payment feature on Facebook Messenger App on Android ,University of Nebraska–Lincoln,Research Assistant, Develop a preference recommendation framework and a Firefox plug in that capture system preferences at runtime and allowing users to search for desired preferences via natural language processing techniques  Research on document analysis with focus on using algebraic approach to factor and extract information from web tables   Build a five stage compiler in Python that parses HTML web tables and constructs intermediate tree structure representation of the tables  Collaborate with groups including Doclab group at Rensselaer Polytechnic Institute and TANGO group at Brigham Young University   Research on Chip Multi core Processors Cache Memory project centered on designing and evaluating adaptive placement and replacement algorithms for cache memory  Modify a cache simulator written in C  to use hashing to determine target cache line ,Microsoft,Software Engineer Intern, Microsoft Dynamics CRM Online Service Team   Design implement and check in a Customer On Demand Backup feature with average 96 unit test code coverage   Design refactor unit test and check in an Organization Level Storage Management feature ,University of Nebraska Lincoln,Master of Science M S  Computer Science 2012  2014,1,,,
Uber,Senior Software Engineer,Real time data and computing at Marketplace ,Uber,Software Engineer II,Software Engineer II at A9 com January 2016   March 2016  3 months ,A9.com,Software Engineer II,I worked on distributed processing infrastructure pipelines modeling a b testing and high performance APIs for the related keywords and the search suggestions projects ,A9.com,Software Engineer I,Building distributed processing infrastructure pipelines modeling a b testing and high performance APIs for the related keywords and the search suggestions projects ,ral Languages Group  Research Programmer at Information Sciences Institute,,Neural machine translation ,Master s degree Computer Science 2012  2014,0,1,,,
Uber,Software Developer,Software Developer at VMware AirWatch June 2015   September 2017  2 years 4 months ,VMware AirWatch,Software Developer,App wrapping and sdk development ,onal Student Leader at University of Illinois at Urbana-Champaign,Inter,Education Georgia Institute of Technology Master s Degree Computer Science 2017  2019 University of Illinois at Urbana Champaign Bachelor of Science BS  Computer Science 2013  2015 Delhi Public School ,0,0,0,0,0,0,Master s Degree Computer Science 2017  2019,University of Illinois at Urbana Champaign,1,,,
Wipro,Software Product Engineer,,Intel Corporation,Embedded Software Engineer,Android OS  Mobile Systems ,Huawei Technologies,Software Project Manager,Android OS  Smartphones ,Sasken Communication Technologies,Senior Software Engineer,Device Drivers  Smartphones ,Delphi - Queretaro Software Center,Embedded Software Engineer,Airbags Systems  Restraint Systems Engineering RSE ,0,0,1,,,
Two Sigma Investments,Software Engineer,Head TA for Computer Graphics at Brown University September 2013   December 2013  4 months ,Brown University,Head TA for Computer Graphics,Research Methodology Intern at Two Sigma Investments June 2013   August 2013  3 months ,Two Sigma Investments,Research Methodology Intern,TA for Design and Analysis of Algorithms at Brown University January 2013   May 2013  5 months ,Brown University,TA for Design and Analysis of Algorithms,TA for Computer Graphics at Brown University August 2012   December 2012  5 months ,Brown University,TA for Computer Graphics,Intern Software Engineer at TripAdvisor June 2012   August 2012  3 months ,Brown University,0,3,,,
